Echinodermata	Crinoidea	Comatulida	Comatulidae	Anneissia	Anneissia japonica
Arthropoda	Insecta	Hemiptera	Aphididae	Melanaphis	Melanaphis sacchari
Arthropoda	Insecta	Hemiptera	Aphididae	Sipha	Sipha flava
Arthropoda	Insecta	Hemiptera	Aphididae	Diuraphis	Diuraphis noxia
Arthropoda	Insecta	Hemiptera	Aphididae	Aphis	Aphis gossypii
Arthropoda	Insecta	Hemiptera	Aphididae	Rhopalosiphum	Rhopalosiphum maidis
Arthropoda	Insecta	Hemiptera	Aphididae	Myzus	Myzus persicae
Arthropoda	Insecta	Hemiptera	Aphididae	Acyrthosiphon	Acyrthosiphon pisum
Arthropoda	Insecta	Lepidoptera	Cosmopterigidae	Hyposmocoma	Hyposmocoma kahamanoa
Arthropoda	Insecta	Lepidoptera	Tortricidae	Leguminivora	Leguminivora glycinivorella
Arthropoda	Insecta	Lepidoptera	Pyralidae	Amyelois	Amyelois transitella
Arthropoda	Insecta	Lepidoptera	Lycaenidae	Aricia	Aricia agestis
Arthropoda	Insecta	Lepidoptera	Plutellidae	Plutella	Plutella xylostella
Arthropoda	Insecta	Lepidoptera	Gelechiidae	Pectinophora	Pectinophora gossypiella
Arthropoda	Insecta	Lepidoptera	Sphingidae	Manduca	Manduca sexta
Arthropoda	Insecta	Lepidoptera	Bombycidae	Bombyx	Bombyx mandarina
Arthropoda	Insecta	Lepidoptera	Bombycidae	Bombyx	Bombyx mori
Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio	Papilio polytes
Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio	Papilio machaon
Arthropoda	Insecta	Lepidoptera	Papilionidae	Papilio	Papilio xuthus
Arthropoda	Insecta	Lepidoptera	Pieridae	Colias	Colias croceus
Arthropoda	Insecta	Lepidoptera	Pieridae	Zerene	Zerene cesonia
Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris napi
Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris rapae
Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris brassicae
Arthropoda	Insecta	Lepidoptera	Noctuidae	Trichoplusia	Trichoplusia ni
Arthropoda	Insecta	Lepidoptera	Noctuidae	Helicoverpa	Helicoverpa armigera
Arthropoda	Insecta	Lepidoptera	Noctuidae	Helicoverpa	Helicoverpa zea
Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera litura
Arthropoda	Insecta	Lepidoptera	Noctuidae	Spodoptera	Spodoptera frugiperda
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danaus	Danaus plexippus	Danaus plexippus plexippus
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis io
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Pararge	Pararge aegeria
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Melitaea	Melitaea cinxia
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola hyperantus
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola jurtina
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Vanessa	Vanessa tameamea
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Vanessa	Vanessa cardui
Arthropoda	Insecta	Lepidoptera	Nymphalidae	Vanessa	Vanessa atalanta
Arthropoda	Insecta	Diptera	Stratiomyidae	Hermetia	Hermetia illucens
Arthropoda	Insecta	Diptera	Cecidomyiidae	Contarinia	Contarinia nasturtii
Arthropoda	Insecta	Diptera	Diopsidae	Teleopsis	Teleopsis dalmanni
Arthropoda	Insecta	Diptera	Sciaridae	Bradysia	Bradysia coprophila
Arthropoda	Insecta	Diptera	Glossinidae	Glossina	Glossina fuscipes
Arthropoda	Insecta	Diptera	Calliphoridae	Lucilia	Lucilia cuprina
Arthropoda	Insecta	Diptera	Muscidae	Stomoxys	Stomoxys calcitrans
Arthropoda	Insecta	Diptera	Muscidae	Musca	Musca domestica
Arthropoda	Insecta	Diptera	Tephritidae	Zeugodacus	Zeugodacus cucurbitae
Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	Ceratitis capitata
Arthropoda	Insecta	Diptera	Tephritidae	Rhagoletis	Rhagoletis zephyria
Arthropoda	Insecta	Diptera	Tephritidae	Rhagoletis	Rhagoletis pomonella
Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera latifrons
Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera oleae
Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera neohumeralis
Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera tryoni
Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera dorsalis
Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Culex pipiens pallens
Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus
Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles coluzzii
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles maculipalpis
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles gambiae	Anopheles gambiae str. PEST
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles funestus
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles darlingi
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles aquasalis
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles stephensi
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles merus
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles arabiensis
Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles albimanus
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila subpulchrella
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila innubila
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila santomea
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila busckii
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila suzukii
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila albomicans
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila guanche
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila arizonae
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila willistoni
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila yakuba
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila teissieri
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila subobscura
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila simulans
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila sechellia
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila pseudoobscura
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila navojoa
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila miranda
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila melanogaster
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila mauritiana
Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila ananassae
Arthropoda	Insecta	Hymenoptera	Cynipidae	Belonocnema	Belonocnema kinseyi
Arthropoda	Insecta	Hymenoptera	Colletidae	Colletes	Colletes gigas
Arthropoda	Insecta	Hymenoptera	Agaonidae	Ceratosolen	Ceratosolen solmsi	Ceratosolen solmsi marchali
Arthropoda	Insecta	Hymenoptera	Orussidae	Orussus	Orussus abietinus
Arthropoda	Insecta	Hymenoptera	Cephidae	Cephus	Cephus cinctus
Arthropoda	Insecta	Hymenoptera	Athaliidae	Athalia	Athalia rosae
Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Venturia	Venturia canescens
Arthropoda	Insecta	Hymenoptera	Encyrtidae	Copidosoma	Copidosoma floridanum
Arthropoda	Insecta	Hymenoptera	Trichogrammatidae	Trichogramma	Trichogramma pretiosum
Arthropoda	Insecta	Hymenoptera	Pteromalidae	Nasonia	Nasonia vitripennis
Arthropoda	Insecta	Hymenoptera	Megachilidae	Osmia	Osmia bicornis	Osmia bicornis bicornis
Arthropoda	Insecta	Hymenoptera	Megachilidae	Megachile	Megachile rotundata
Arthropoda	Insecta	Hymenoptera	Halictidae	Nomia	Nomia melanderi
Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea	Dufourea novaeangliae
Arthropoda	Insecta	Hymenoptera	Halictidae	Megalopta	Megalopta genalis
Arthropoda	Insecta	Hymenoptera	Diprionidae	Diprion	Diprion similis
Arthropoda	Insecta	Hymenoptera	Diprionidae	Neodiprion	Neodiprion virginianus
Arthropoda	Insecta	Hymenoptera	Diprionidae	Neodiprion	Neodiprion fabricii
Arthropoda	Insecta	Hymenoptera	Diprionidae	Neodiprion	Neodiprion pinetum
Arthropoda	Insecta	Hymenoptera	Diprionidae	Neodiprion	Neodiprion lecontei
Arthropoda	Insecta	Hymenoptera	Braconidae	Aphidius	Aphidius gifuensis
Arthropoda	Insecta	Hymenoptera	Braconidae	Chelonus	Chelonus insularis
Arthropoda	Insecta	Hymenoptera	Braconidae	Diachasma	Diachasma alloeum
Arthropoda	Insecta	Hymenoptera	Braconidae	Fopius	Fopius arisanus
Arthropoda	Insecta	Hymenoptera	Braconidae	Cotesia	Cotesia glomerata
Arthropoda	Insecta	Hymenoptera	Vespidae	Vespula	Vespula pensylvanica
Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa velutina
Arthropoda	Insecta	Hymenoptera	Vespidae	Vespa	Vespa crabro
Arthropoda	Insecta	Hymenoptera	Vespidae	Polistes	Polistes dominula
Arthropoda	Insecta	Hymenoptera	Vespidae	Polistes	Polistes canadensis
Arthropoda	Insecta	Hymenoptera	Vespidae	Polistes	Polistes fuscatus
Arthropoda	Insecta	Hymenoptera	Apidae	Habropoda	Habropoda laboriosa
Arthropoda	Insecta	Hymenoptera	Apidae	Frieseomelitta	Frieseomelitta varia
Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea	Eufriesea mexicana
Arthropoda	Insecta	Hymenoptera	Apidae	Ceratina	Ceratina calcarata
Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis laboriosa
Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis florea
Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis dorsata
